Latitude,Longitude,Date,Address,Zip
43.050834674,-76.1418345857,2012-12-31T00:00:00Z,711 East Erie Blvd,13210
43.0510857712,-76.1149464405,2012-12-30T00:00:00Z,Peat St,13224
43.0239381348,-76.1579960131,2012-12-30T00:00:00Z,249 Rockland Ave,13207
42.9850876186,-76.1423016334,2012-12-30T00:00:00Z,Gary Ave & Edna Rd,13205
43.0311871945,-76.1136228363,2012-12-29T00:00:00Z,1160 Westmoreland Ave,13210
43.0427107103,-76.1421795385,2012-12-29T00:00:00Z,Almond St. & Monroe St.,13210
43.0239699452,-76.1556507132,2012-12-29T00:00:00Z,107 Rockland Ave,13207
43.0569689795,-76.1675833785,2012-12-26T00:00:00Z,Sand St. & Spencer St.,13204
43.0465312741,-76.1014720185,2012-12-26T00:00:00Z,Gorland Ave,13224
43.0468299101,-76.1169265234,2012-12-25T00:00:00Z,321 Allen St.,13210
43.0546110738,-76.0942412622,2012-12-22T00:00:00Z,East Erie Blvd & Lime St.,13224
43.0546110738,-76.0942412622,2012-12-20T00:00:00Z,East Erie Blvd & Lime St.,13224
43.0313117992,-76.15540925,2012-12-18T00:00:00Z,453 West Castle St.,13205
43.0308281265,-76.1082690724,2012-12-17T00:00:00Z,201-211 Croyden St,13224
43.0527851532,-76.09392675,2012-12-15T00:00:00Z,809 Northway St.,13224
43.0426662447,-76.1366437649,2012-12-14T00:00:00Z,South Crouse aver. & East Adams St,13210
43.0499867766,-76.0996052045,2012-12-14T00:00:00Z,225 Delray Ave,13224
43.0381207746,-76.0935108094,2012-12-13T00:00:00Z,322 Kimber Rd,13214
43.0649880332,-76.1964561845,2012-12-07T00:00:00Z,State Fair Blvd,13204
42.9921760603,-76.1440035456,2012-12-04T00:00:00Z,5414-5416 South Salina St,13205
43.054374757,-76.1500494638,2012-12-04T00:00:00Z,425 North State St.,13203
43.0458440565,-76.1523348854,2012-12-03T00:00:00Z,444 South Salina St.,13202
43.0450695973,-76.1134155733,2012-12-03T00:00:00Z,Ellis St. & East Genesee St.,13224
43.0417537368,-76.1211136034,2012-12-03T00:00:00Z,100 Delhi St.,13210
43.0605159836,-76.1412613838,2012-12-01T00:00:00Z,203 Beecher St,13203
43.0708664852,-76.1287358856,2012-11-29T00:00:00Z,481 Brattle Rd,13203
43.0283786976,-76.1635441721,2012-11-27T00:00:00Z,Eastwood Ave & Onondaga Ave,13207
43.0463086289,-76.1307071197,2012-11-26T00:00:00Z,Comstock Ave & Comstock Pl.,13210
43.0258420443,-76.1703041341,2012-11-25T00:00:00Z,626 Roberts Ave,13207
43.0366278816,-76.1150415946,2012-11-20T00:00:00Z,427 Fellows Ave	,13210
43.0240806684,-76.1555843676,2012-11-09T00:00:00Z,Rockland Ave,13207
43.0423318211,-76.1885481961,2012-11-01T00:00:00Z,Burnet Park Picnic Area,13204
43.0423318211,-76.1885481961,2012-10-31T00:00:00Z,Burnet Park Picnic Area,13204
43.038762696,-76.1674633465,2012-10-29T00:00:00Z,207 Sabine St.,13204
43.0492939949,-76.1342836648,2012-10-26T00:00:00Z,1012 East Washington St.,13210
43.0374713175,-76.1696777175,2012-10-25T00:00:00Z,505 Delaware St.,13204
43.0544513302,-76.095240146,2012-10-24T00:00:00Z,2760 East Erie Blvd,13224
43.0385109158,-76.1299175647,2012-10-23T00:00:00Z,727 Comstock Ave,13210
43.0002679494,-76.151833811,2012-10-21T00:00:00Z,101 MacDougall Pl,13207
43.0087791888,-76.1427886013,2012-10-20T00:00:00Z,105 Dawes Rd,13205
43.0442120992,-76.1450971084,2012-10-19T00:00:00Z,500 Harrison St.,13202
43.0486728835,-76.1508045013,2012-10-19T00:00:00Z,East Fayette St. & Warren St.,13202
